date,channel,spend,free_signups,trial_starts,paid_conversions,retained_day_30,retained_day_90,retained_day_180,cost_per_signup,cost_per_trial,cost_per_paid,cost_per_retained_90,is_holdout_period
2024-01-19,tiktok,3788.8,241,55,16,10,8,5,15.72,68.89,236.8,473.6,False
2024-01-19,apple_search,1817.84,42,23,14,12,11,8,43.28,79.04,129.85,165.26,False
2024-01-20,meta,5865.34,210,71,32,25,21,18,27.93,82.61,183.29,279.3,False
2024-01-20,google,6892.44,259,102,54,47,34,31,26.61,67.57,127.64,202.72,False
2024-01-20,tiktok,4236.7,241,61,17,11,8,6,17.58,69.45,249.22,529.59,False
2024-01-20,apple_search,2278.04,64,34,20,17,16,13,35.59,67.0,113.9,142.38,False
2024-01-21,meta,7283.62,345,126,55,46,36,25,21.11,57.81,132.43,202.32,False
2024-01-21,google,7669.77,213,87,45,40,32,27,36.01,88.16,170.44,239.68,False
2024-01-21,tiktok,5267.24,227,57,17,11,9,6,23.2,92.41,309.84,585.25,False
2024-01-21,apple_search,2508.88,72,44,27,24,21,18,34.85,57.02,92.92,119.47,False
2024-01-22,meta,7862.02,276,96,42,34,29,24,28.49,81.9,187.19,271.1,False
2024-01-22,google,8204.22,270,107,54,46,40,30,30.39,76.67,151.93,205.11,False
2024-01-22,tiktok,5319.48,334,85,27,18,13,8,15.93,62.58,197.02,409.19,False
2024-01-22,apple_search,3013.94,84,46,28,24,25,20,35.88,65.52,107.64,120.56,False
2024-01-23,meta,7117.5,301,107,48,38,33,29,23.65,66.52,148.28,215.68,False
2024-01-23,google,10166.46,379,155,76,64,54,49,26.82,65.59,133.77,188.27,False
2024-01-23,tiktok,2524.8,178,44,12,8,5,4,14.18,57.38,210.4,504.96,False
2024-01-23,apple_search,2645.23,61,31,18,17,14,11,43.36,85.33,146.96,188.94,False
2024-01-24,meta,6755.67,262,79,35,28,24,21,25.79,85.51,193.02,281.49,False
2024-01-24,google,9953.08,313,124,72,61,51,43,31.8,80.27,138.24,195.16,False
2024-01-24,tiktok,4600.99,260,63,18,12,9,6,17.7,73.03,255.61,511.22,False
2024-01-24,apple_search,2658.33,69,40,21,19,17,12,38.53,66.46,126.59,156.37,False
2024-01-25,meta,6664.99,256,83,35,27,25,20,26.04,80.3,190.43,266.6,False
2024-01-25,google,10122.81,349,138,69,59,46,44,29.01,73.35,146.71,220.06,False
2024-01-25,tiktok,4127.51,232,60,18,12,9,6,17.79,68.79,229.31,458.61,False
2024-01-25,apple_search,2797.09,78,42,26,22,21,18,35.86,66.6,107.58,133.19,False
2024-01-26,meta,5513.52,250,84,35,27,24,17,22.05,65.64,157.53,229.73,False
2024-01-26,google,9053.0,237,107,56,47,39,35,38.2,84.61,161.66,232.13,False
2024-01-26,tiktok,3703.95,244,61,18,12,9,6,15.18,60.72,205.78,411.55,False
2024-01-26,apple_search,1859.81,45,25,15,13,12,11,41.33,74.39,123.99,154.98,False
2024-01-27,meta,5508.0,209,73,31,25,19,18,26.35,75.45,177.68,289.89,False
2024-01-27,google,7916.4,276,121,68,59,44,37,28.68,65.42,116.42,179.92,False
2024-01-27,tiktok,3160.67,191,48,13,9,6,4,16.55,65.85,243.13,526.78,False
2024-01-27,apple_search,1931.32,48,24,14,12,10,11,40.24,80.47,137.95,193.13,False
2024-01-28,meta,7586.34,300,100,46,37,31,29,25.29,75.86,164.92,244.72,False
2024-01-28,google,8727.78,325,131,68,60,47,46,26.85,66.62,128.35,185.7,False
2024-01-28,tiktok,5195.92,273,70,22,15,10,7,19.03,74.23,236.18,519.59,False
2024-01-28,apple_search,2583.3,69,39,24,20,19,18,37.44,66.24,107.64,135.96,False
2024-01-29,meta,7670.92,329,119,54,44,33,30,23.32,64.46,142.05,232.45,False
2024-01-29,google,9066.34,309,121,59,51,42,37,29.34,74.93,153.67,215.87,False
2024-01-29,tiktok,4454.25,258,67,19,13,9,7,17.26,66.48,234.43,494.92,False
2024-01-29,apple_search,2571.72,71,38,25,21,19,17,36.22,67.68,102.87,135.35,False
2024-01-30,meta,8628.9,329,121,50,41,35,27,26.23,71.31,172.58,246.54,False
2024-01-30,google,9995.68,306,137,79,66,55,53,32.67,72.96,126.53,181.74,False
2024-01-30,tiktok,6181.15,307,75,22,14,10,7,20.13,82.42,280.96,618.11,False
2024-01-30,apple_search,2454.62,66,36,24,20,20,17,37.19,68.18,102.28,122.73,False
2024-01-31,meta,7050.93,297,98,44,36,30,24,23.74,71.95,160.25,235.03,False
2024-01-31,google,11495.77,331,135,68,56,47,44,34.73,85.15,169.06,244.59,False
2024-01-31,tiktok,6016.45,301,72,22,15,11,8,19.99,83.56,273.47,546.95,False
2024-01-31,apple_search,2260.09,71,42,25,22,20,18,31.83,53.81,90.4,113.0,False
2024-02-01,meta,7820.58,362,125,54,42,35,29,21.6,62.56,144.83,223.45,False
2024-02-01,google,10812.79,323,137,71,62,57,41,33.48,78.93,152.29,189.7,False
2024-02-01,tiktok,3904.13,254,65,21,14,10,8,15.37,60.06,185.91,390.41,False
2024-02-01,apple_search,2964.98,84,47,30,27,25,22,35.3,63.08,98.83,118.6,False
2024-02-02,meta,5909.93,244,90,38,31,25,20,24.22,65.67,155.52,236.4,False
2024-02-02,google,8739.83,298,125,60,52,44,42,29.33,69.92,145.66,198.63,False
2024-02-02,tiktok,3497.16,213,53,17,11,8,6,16.42,65.98,205.72,437.14,False
2024-02-02,apple_search,2315.63,60,33,21,18,16,14,38.59,70.17,110.27,144.73,False
2024-02-03,meta,7162.94,239,81,37,31,25,19,29.97,88.43,193.59,286.52,False
2024-02-03,google,9306.59,262,97,51,42,34,32,35.52,95.94,182.48,273.72,False
2024-02-03,tiktok,4027.71,223,52,16,11,8,6,18.06,77.46,251.73,503.46,False
2024-02-03,apple_search,2034.05,47,24,14,12,11,10,43.28,84.75,145.29,184.91,False
2024-02-04,meta,5816.37,272,94,44,36,30,25,21.38,61.88,132.19,193.88,False
2024-02-04,google,9431.7,329,147,77,66,55,51,28.67,64.16,122.49,171.49,False
2024-02-04,tiktok,3718.62,260,64,17,11,8,6,14.3,58.1,218.74,464.83,False
2024-02-04,apple_search,2510.0,65,32,19,15,13,14,38.62,78.44,132.11,193.08,False
2024-02-05,meta,8021.32,320,106,47,38,30,28,25.07,75.67,170.67,267.38,False
2024-02-05,google,9913.75,314,132,69,55,49,40,31.57,75.1,143.68,202.32,False
2024-02-05,tiktok,3361.72,196,53,16,11,8,6,17.15,63.43,210.11,420.21,False
2024-02-05,apple_search,2939.63,77,40,25,22,20,18,38.18,73.49,117.59,146.98,False
2024-02-06,meta,8322.72,298,111,50,43,32,30,27.93,74.98,166.45,260.08,False
2024-02-06,google,9201.8,284,116,59,50,43,34,32.4,79.33,155.96,214.0,False
2024-02-06,tiktok,4466.8,313,85,26,18,13,10,14.27,52.55,171.8,343.6,False
2024-02-06,apple_search,2420.7,64,32,20,18,15,15,37.82,75.65,121.04,161.38,False
2024-02-07,meta,5881.1,204,72,34,29,22,20,28.83,81.68,172.97,267.32,False
2024-02-07,google,8965.92,293,128,68,55,52,45,30.6,70.05,131.85,172.42,False
2024-02-07,tiktok,3799.43,233,59,17,11,8,6,16.31,64.4,223.5,474.93,False
2024-02-07,apple_search,3019.17,83,44,28,23,23,17,36.38,68.62,107.83,131.27,False
2024-02-08,meta,6829.03,241,78,37,29,25,20,28.34,87.55,184.57,273.16,False
2024-02-08,google,9543.81,315,123,67,56,44,39,30.3,77.59,142.44,216.9,False
2024-02-08,tiktok,6206.96,353,86,25,17,14,9,17.58,72.17,248.28,443.35,False
2024-02-08,apple_search,2824.58,82,45,27,24,21,19,34.45,62.77,104.61,134.5,False
2024-02-09,meta,6823.3,273,99,44,36,26,25,24.99,68.92,155.08,262.43,False
2024-02-09,google,8009.56,299,107,61,51,46,34,26.79,74.86,131.3,174.12,False
2024-02-09,tiktok,4433.93,229,55,18,12,9,7,19.36,80.62,246.33,492.66,False
2024-02-09,apple_search,2421.3,67,37,25,22,20,19,36.14,65.44,96.85,121.06,False
2024-02-10,meta,7187.93,316,114,48,41,30,26,22.75,63.05,149.75,239.6,False
2024-02-10,google,7009.32,241,102,53,45,41,33,29.08,68.72,132.25,170.96,False
2024-02-10,tiktok,3618.23,236,62,17,12,9,6,15.33,58.36,212.84,402.03,False
2024-02-10,apple_search,2630.14,69,38,23,20,17,14,38.12,69.21,114.35,154.71,False
2024-02-11,meta,9008.59,303,100,40,32,25,24,29.73,90.09,225.21,360.34,False
2024-02-11,google,10188.46,305,142,77,64,48,54,33.4,71.75,132.32,212.26,False
2024-02-11,tiktok,2965.21,150,39,13,9,6,5,19.77,76.03,228.09,494.2,False
2024-02-11,apple_search,2958.84,83,46,28,25,21,19,35.65,64.32,105.67,140.9,False
2024-02-12,meta,5436.01,222,73,31,25,22,18,24.49,74.47,175.36,247.09,False
2024-02-12,google,7391.43,229,100,49,41,36,27,32.28,73.91,150.85,205.32,False
2024-02-12,tiktok,4673.92,231,56,17,11,9,6,20.23,83.46,274.94,519.32,False
2024-02-12,apple_search,2883.33,78,45,28,24,22,20,36.97,64.07,102.98,131.06,False
2024-02-13,meta,7356.56,289,97,42,32,31,21,25.46,75.84,175.16,237.31,False
2024-02-13,google,8369.75,262,114,58,51,40,36,31.95,73.42,144.31,209.24,False
2024-02-13,tiktok,3611.19,261,61,18,12,9,6,13.84,59.2,200.62,401.24,False
2024-02-13,apple_search,2703.09,72,39,25,23,19,16,37.54,69.31,108.12,142.27,False
2024-02-14,meta,7223.02,357,119,57,49,37,32,20.23,60.7,126.72,195.22,False
2024-02-14,google,10937.92,330,137,69,56,48,38,33.15,79.84,158.52,227.87,False
2024-02-14,tiktok,4613.96,244,61,16,11,8,5,18.91,75.64,288.37,576.74,False
2024-02-14,apple_search,2847.66,84,43,28,25,21,20,33.9,66.22,101.7,135.6,False
2024-02-15,meta,7951.55,307,110,47,38,29,25,25.9,72.29,169.18,274.19,False
2024-02-15,google,8176.54,256,114,62,53,42,36,31.94,71.72,131.88,194.68,False
2024-02-15,tiktok,5976.39,322,89,27,19,13,10,18.56,67.15,221.35,459.72,False
2024-02-15,apple_search,2709.45,77,44,26,22,18,19,35.19,61.58,104.21,150.53,False
2024-02-16,meta,5216.62,169,60,30,24,21,16,30.87,86.94,173.89,248.41,False
2024-02-16,google,7721.32,288,119,62,53,43,40,26.81,64.89,124.54,179.57,False
2024-02-16,tiktok,3736.13,205,52,14,9,7,5,18.23,71.85,266.87,533.73,False
2024-02-16,apple_search,2455.49,66,37,24,21,19,15,37.2,66.36,102.31,129.24,False
2024-02-17,meta,5265.0,211,71,31,25,21,16,24.95,74.15,169.84,250.71,False
2024-02-17,google,8289.92,282,106,52,44,35,33,29.4,78.21,159.42,236.85,False
2024-02-17,tiktok,5415.05,334,82,26,18,13,9,16.21,66.04,208.27,416.54,False
2024-02-17,apple_search,2278.72,60,33,20,18,16,15,37.98,69.05,113.94,142.42,False
2024-02-18,meta,8442.12,270,82,38,29,25,19,31.27,102.95,222.16,337.68,False
2024-02-18,google,7239.61,263,114,57,44,39,35,27.53,63.51,127.01,185.63,False
2024-02-18,tiktok,2910.91,180,44,13,9,6,5,16.17,66.16,223.92,485.15,False
2024-02-18,apple_search,2727.17,72,37,22,19,17,17,37.88,73.71,123.96,160.42,False
2024-02-19,meta,5883.12,201,75,33,26,23,17,29.27,78.44,178.28,255.79,False
2024-02-19,google,11288.25,374,153,88,73,65,54,30.18,73.78,128.28,173.67,False
2024-02-19,tiktok,6136.33,373,93,26,18,13,11,16.45,65.98,236.01,472.03,False
2024-02-19,apple_search,2815.73,72,39,22,19,18,15,39.11,72.2,127.99,156.43,False
2024-02-20,meta,6259.44,266,98,45,38,29,22,23.53,63.87,139.1,215.84,False
2024-02-20,google,10954.13,332,137,75,64,55,52,32.99,79.96,146.06,199.17,False
2024-02-20,tiktok,3894.32,251,62,18,13,9,7,15.52,62.81,216.35,432.7,False
2024-02-20,apple_search,3083.22,77,40,23,19,20,15,40.04,77.08,134.05,154.16,False
2024-02-21,meta,7196.7,275,97,45,37,29,24,26.17,74.19,159.93,248.16,False
2024-02-21,google,9620.19,306,138,73,63,54,48,31.44,69.71,131.78,178.15,False
2024-02-21,tiktok,4862.88,239,60,17,11,9,7,20.35,81.05,286.05,540.32,False
2024-02-21,apple_search,2797.34,76,45,28,27,23,17,36.81,62.16,99.91,121.62,False
2024-02-22,meta,8305.35,326,121,56,45,35,30,25.48,68.64,148.31,237.3,False
2024-02-22,google,8375.65,266,115,64,55,43,40,31.49,72.83,130.87,194.78,False
2024-02-22,tiktok,6059.05,301,74,22,15,11,8,20.13,81.88,275.41,550.82,False
2024-02-22,apple_search,2915.69,70,37,23,20,19,16,41.65,78.8,126.77,153.46,False
2024-02-23,meta,6572.87,288,93,38,29,27,20,22.82,70.68,172.97,243.44,False
2024-02-23,google,10388.18,313,132,73,65,57,48,33.19,78.7,142.3,182.25,False
2024-02-23,tiktok,4991.54,297,77,22,15,11,8,16.81,64.83,226.89,453.78,False
2024-02-23,apple_search,2276.39,66,38,23,21,17,16,34.49,59.91,98.97,133.91,False
2024-02-24,meta,5689.06,189,65,29,24,20,14,30.1,87.52,196.17,284.45,False
2024-02-24,google,9740.9,356,153,78,64,55,51,27.36,63.67,124.88,177.11,False
2024-02-24,tiktok,5861.11,363,88,24,16,11,9,16.15,66.6,244.21,532.83,False
2024-02-24,apple_search,2355.14,61,30,19,16,14,10,38.61,78.5,123.95,168.22,False
2024-02-25,meta,7487.18,343,130,57,45,39,29,21.83,57.59,131.35,191.98,False
2024-02-25,google,9738.11,341,152,78,65,53,44,28.56,64.07,124.85,183.74,False
2024-02-25,tiktok,4432.83,265,69,19,13,9,7,16.73,64.24,233.31,492.54,False
2024-02-25,apple_search,2608.67,53,30,19,16,15,14,49.22,86.96,137.3,173.91,False
2024-02-26,meta,5770.62,223,81,34,28,21,19,25.88,71.24,169.72,274.79,False
2024-02-26,google,9381.21,258,114,57,47,41,37,36.36,82.29,164.58,228.81,False
2024-02-26,tiktok,3514.43,211,53,16,11,8,5,16.66,66.31,219.65,439.3,False
2024-02-26,apple_search,2850.8,67,31,19,17,13,12,42.55,91.96,150.04,219.29,False
2024-02-27,meta,8258.11,377,132,57,46,41,29,21.9,62.56,144.88,201.42,False
2024-02-27,google,8539.57,273,109,57,50,41,34,31.28,78.34,149.82,208.28,False
2024-02-27,tiktok,4378.17,214,55,16,11,9,6,20.46,79.6,273.64,486.46,False
2024-02-27,apple_search,2620.59,67,38,23,19,19,15,39.11,68.96,113.94,137.93,False
2024-02-28,meta,9704.29,383,131,62,50,43,35,25.34,74.08,156.52,225.68,False
2024-02-28,google,8507.74,267,117,59,49,40,37,31.86,72.72,144.2,212.69,False
2024-02-28,tiktok,7176.12,312,78,25,17,13,8,23.0,92.0,287.04,552.01,False
2024-02-28,apple_search,2962.52,76,43,28,27,23,20,38.98,68.9,105.8,128.81,False
2024-02-29,meta,7816.42,290,103,45,37,32,23,26.95,75.89,173.7,244.26,False
2024-02-29,google,10792.32,385,160,74,61,56,45,28.03,67.45,145.84,192.72,False
2024-02-29,tiktok,3560.97,201,52,16,11,8,5,17.72,68.48,222.56,445.12,False
2024-02-29,apple_search,2585.4,81,43,28,26,23,19,31.92,60.13,92.34,112.41,False
2024-03-01,meta,6864.26,272,90,41,32,29,21,25.24,76.27,167.42,236.7,False
2024-03-01,google,8285.68,288,119,63,52,47,34,28.77,69.63,131.52,176.29,False
2024-03-01,tiktok,4173.0,291,69,19,13,9,7,14.34,60.48,219.63,463.67,False
2024-03-01,apple_search,2545.85,73,42,26,23,21,21,34.87,60.62,97.92,121.23,False
2024-03-02,meta,6359.88,231,85,38,29,26,20,27.53,74.82,167.37,244.61,False
2024-03-02,google,8023.11,281,119,64,53,47,38,28.55,67.42,125.36,170.7,False
2024-03-02,tiktok,4804.7,289,68,21,14,11,8,16.63,70.66,228.8,436.79,False
2024-03-02,apple_search,2880.67,74,39,24,21,19,15,38.93,73.86,120.03,151.61,False
2024-03-03,meta,6444.12,231,84,41,33,27,22,27.9,76.72,157.17,238.67,False
2024-03-03,google,10901.2,311,132,71,61,51,46,35.05,82.58,153.54,213.75,False
2024-03-03,tiktok,1550.82,103,24,6,4,3,2,15.06,64.62,258.47,516.94,False
2024-03-03,apple_search,3143.68,94,55,36,33,28,23,33.44,57.16,87.32,112.27,False
2024-03-04,meta,7390.42,264,102,45,37,31,24,27.99,72.46,164.23,238.4,False
2024-03-04,google,11543.15,333,141,70,57,48,42,34.66,81.87,164.9,240.48,False
2024-03-04,tiktok,4281.29,231,53,15,10,8,5,18.53,80.78,285.42,535.16,False
2024-03-04,apple_search,2458.19,64,33,20,18,14,14,38.41,74.49,122.91,175.59,False
2024-03-05,meta,7508.78,312,110,47,38,30,27,24.07,68.26,159.76,250.29,False
2024-03-05,google,9641.56,375,157,78,63,51,42,25.71,61.41,123.61,189.05,False
2024-03-05,tiktok,5129.6,301,69,21,14,11,8,17.04,74.34,244.27,466.33,False
2024-03-05,apple_search,3143.84,79,41,22,19,17,14,39.8,76.68,142.9,184.93,False
2024-03-06,meta,7561.72,296,102,44,36,30,22,25.55,74.13,171.86,252.06,False
2024-03-06,google,11274.49,346,145,78,66,58,48,32.59,77.76,144.54,194.39,False
2024-03-06,tiktok,4082.86,247,58,17,11,8,6,16.53,70.39,240.17,510.36,False
2024-03-06,apple_search,2348.25,60,33,20,17,17,13,39.14,71.16,117.41,138.13,False
2024-03-07,meta,8858.32,342,115,56,44,39,32,25.9,77.03,158.18,227.14,False
2024-03-07,google,8889.16,337,139,73,62,52,47,26.38,63.95,121.77,170.95,False
2024-03-07,tiktok,5792.4,257,68,18,12,9,6,22.54,85.18,321.8,643.6,False
2024-03-07,apple_search,2780.99,65,35,21,19,17,16,42.78,79.46,132.43,163.59,False
2024-03-08,meta,6035.02,240,76,32,26,23,16,25.15,79.41,188.59,262.39,False
2024-03-08,google,7652.77,261,111,55,47,38,33,29.32,68.94,139.14,201.39,False
2024-03-08,tiktok,4681.82,267,65,19,13,9,7,17.53,72.03,246.41,520.2,False
2024-03-08,apple_search,2866.66,80,43,27,24,22,19,35.83,66.67,106.17,130.3,False
2024-03-09,meta,6501.65,272,87,36,28,24,22,23.9,74.73,180.6,270.9,False
2024-03-09,google,10471.68,355,152,71,59,49,41,29.5,68.89,147.49,213.71,False
2024-03-09,tiktok,3956.4,222,50,15,10,7,6,17.82,79.13,263.76,565.2,False
2024-03-09,apple_search,2250.18,46,24,15,14,11,11,48.92,93.76,150.01,204.56,False
2024-03-10,meta,7250.42,281,111,46,38,32,27,25.8,65.32,157.62,226.58,False
2024-03-10,google,9857.62,330,135,71,59,52,42,29.87,73.02,138.84,189.57,False
2024-03-10,tiktok,5330.79,294,77,23,15,12,8,18.13,69.23,231.77,444.23,False
2024-03-10,apple_search,2731.83,68,39,21,20,17,15,40.17,70.05,130.09,160.7,False
2024-03-11,meta,7750.48,308,110,51,42,34,27,25.16,70.46,151.97,227.96,False
2024-03-11,google,9591.21,307,136,72,55,53,44,31.24,70.52,133.21,180.97,False
2024-03-11,tiktok,4861.42,264,69,21,14,11,7,18.41,70.46,231.5,441.95,False
2024-03-11,apple_search,2526.26,64,36,23,21,19,17,39.47,70.17,109.84,132.96,False
2024-03-12,meta,7081.34,291,105,49,41,34,27,24.33,67.44,144.52,208.27,False
2024-03-12,google,11051.82,345,138,71,59,49,42,32.03,80.09,155.66,225.55,False
2024-03-12,tiktok,3926.91,224,50,15,10,7,5,17.53,78.54,261.79,560.99,False
2024-03-12,apple_search,3213.7,69,36,21,18,17,14,46.58,89.27,153.03,189.04,False
2024-03-13,meta,7544.06,234,84,35,28,24,21,32.24,89.81,215.54,314.34,False
2024-03-13,google,8277.42,195,82,46,40,33,27,42.45,100.94,179.94,250.83,False
2024-03-13,tiktok,5900.56,285,72,22,15,13,8,20.7,81.95,268.21,453.89,False
2024-03-13,apple_search,2795.97,74,37,22,19,17,16,37.78,75.57,127.09,164.47,False
2024-03-14,meta,6904.64,305,106,47,38,32,27,22.64,65.14,146.91,215.77,False
2024-03-14,google,8820.88,275,113,54,44,37,34,32.08,78.06,163.35,238.4,False
2024-03-14,tiktok,5245.8,297,77,22,15,11,8,17.66,68.13,238.45,476.89,False
2024-03-14,apple_search,2781.48,56,30,19,17,15,14,49.67,92.72,146.39,185.43,False
2024-03-15,meta,6801.58,276,93,41,34,29,22,24.64,73.14,165.89,234.54,False
2024-03-15,google,7937.12,270,116,55,43,38,30,29.4,68.42,144.31,208.87,False
2024-03-15,tiktok,3662.26,214,52,16,11,8,6,17.11,70.43,228.89,457.78,False
2024-03-15,apple_search,2230.46,67,36,23,20,16,17,33.29,61.96,96.98,139.4,False
2024-03-16,meta,7109.8,255,85,40,31,29,20,27.88,83.64,177.74,245.17,False
2024-03-16,google,9056.72,290,125,63,53,45,35,31.23,72.45,143.76,201.26,False
